EnrollmentID,StudentID,CourseID,Semester,Year,Grade,Source
139,1262,COURSE4,Fall,2022,C,Original
140,1026,COURSE8,Spring,2023,A,Original
141,1122,COURSE40,Fall,2022,C,Original
142,1269,COURSE49,Spring,2019,D,Original
143,1052,COURSE26,Summer,2023,A,Original
144,1450,COURSE18,Summer,2024,B,Original
145,1470,COURSE35,Fall,2024,B,Original
146,1251,COURSE42,Fall,2022,C,Original
147,1215,COURSE32,Summer,2024,A,Original
148,1473,COURSE40,Spring,2020,D,Original
149,1007,COURSE35,Spring,2020,C,Original
150,1438,COURSE35,Fall,2020,F,Original
151,1155,COURSE35,Fall,2021,D,Original
152,1388,COURSE34,Fall,2023,D,Original
153,1115,COURSE34,Fall,2020,D,Original
154,1221,COURSE15,Summer,2019,C,Original
155,1500,COURSE26,Fall,2019,C,Original
156,1159,COURSE22,Spring,2024,A,Original
157,1075,COURSE46,Spring,2019,A,Original
158,1163,COURSE37,Fall,2021,C,Original
159,1205,COURSE43,Spring,2022,F,Original
160,1480,COURSE10,Spring,2022,B,Original
161,1064,COURSE10,Spring,2021,A,Original
162,1072,COURSE9,Summer,2020,B,Original
163,1106,COURSE14,Spring,2019,F,Original
164,1352,COURSE33,Spring,2021,C,Original
165,1125,COURSE21,Fall,2021,C,Original
166,1242,COURSE41,Fall,2019,F,Original
167,1190,COURSE34,Spring,2024,F,Original
168,1003,COURSE39,Spring,2021,C,Original
169,1031,COURSE8,Fall,2023,D,Original
170,1197,COURSE29,Fall,2021,D,Original
171,1162,COURSE39,Summer,2020,D,Original
172,1221,COURSE29,Spring,2023,F,Original
173,1371,COURSE40,Spring,2019,C,Original
174,1320,COURSE5,Summer,2020,C,Original
175,1433,COURSE5,Spring,2019,F,Original
176,1008,COURSE9,Summer,2019,F,Original
177,1043,COURSE47,Spring,2022,C,Original
178,1131,COURSE10,Summer,2019,A,Original
179,1278,COURSE30,Spring,2023,B,Original
180,1218,COURSE28,Spring,2019,D,Original
181,1060,COURSE9,Fall,2024,C,Original
182,1151,COURSE32,Fall,2019,B,Original
183,1110,COURSE14,Spring,2023,D,Original
184,1057,COURSE33,Fall,2021,D,Original
185,1024,COURSE36,Spring,2020,F,Original
186,1157,COURSE47,Fall,2022,B,Original
187,1113,COURSE14,Fall,2021,C,Original
188,1001,COURSE1,Spring,2020,A,Original
189,1101,COURSE38,Spring,2021,C,Original
190,1466,COURSE43,Summer,2020,D,Original
191,1377,COURSE47,Fall,2024,C,Original
192,1212,COURSE5,Spring,2019,F,Original
193,1292,COURSE8,Fall,2022,C,Original
194,1256,COURSE17,Summer,2024,C,Original
195,1399,COURSE28,Summer,2024,C,Original
196,1466,COURSE32,Spring,2023,B,Original
197,1349,COURSE25,Spring,2022,B,Original
198,1442,COURSE39,Summer,2023,F,Original
199,1061,COURSE34,Spring,2021,C,Original
200,1499,COURSE32,Spring,2022,F,Original
201,1084,COURSE5,Fall,2023,A,Original
202,1454,COURSE30,Spring,2019,B,Original
203,1071,COURSE47,Summer,2019,C,Original
204,1351,COURSE42,Spring,2023,C,Original
205,1438,COURSE23,Spring,2021,A,Original
206,1351,COURSE14,Fall,2020,C,Original
207,1243,COURSE31,Summer,2022,D,Original
208,1415,COURSE11,Summer,2024,D,Original
209,1251,COURSE5,Fall,2022,A,Original
210,1183,COURSE5,Spring,2023,D,Original
211,1110,COURSE34,Summer,2021,B,Original
212,1146,COURSE24,Summer,2021,C,Original
213,1488,COURSE39,Spring,2022,D,Original
214,1375,COURSE38,Fall,2024,A,Original
215,1346,COURSE30,Fall,2019,F,Original
216,1235,COURSE40,Summer,2019,B,Original
217,1409,COURSE36,Summer,2021,F,Original
218,1377,COURSE50,Summer,2020,B,Original
219,1183,COURSE50,Fall,2024,F,Original
220,1408,COURSE33,Spring,2023,F,Original
221,1337,COURSE23,Summer,2022,D,Original
222,1015,COURSE48,Summer,2020,B,Original
223,1197,COURSE11,Summer,2023,A,Original
224,1426,COURSE38,Summer,2023,D,Original
225,1008,COURSE50,Spring,2022,F,Original
226,1124,COURSE3,Summer,2022,A,Original
227,1374,COURSE10,Summer,2022,B,Original
228,1238,COURSE21,Summer,2022,B,Original
229,1223,COURSE16,Fall,2022,B,Original
230,1182,COURSE5,Summer,2020,B,Original
231,1193,COURSE37,Fall,2021,F,Original
232,1107,COURSE49,Fall,2024,F,Original
233,1038,COURSE42,Spring,2019,F,Original
234,1358,COURSE11,Spring,2019,D,Original
235,1072,COURSE23,Summer,2024,C,Original
236,1075,COURSE37,Summer,2023,A,Original
237,1465,COURSE13,Spring,2024,F,Original
238,1439,COURSE27,Summer,2019,C,Original
239,1306,COURSE44,Fall,2019,C,Original
240,1217,COURSE41,Spring,2022,B,Original
241,1245,COURSE41,Spring,2023,A,Original
242,1469,COURSE12,Fall,2020,D,Original
243,1270,COURSE45,Summer,2024,C,Original
244,1317,COURSE19,Spring,2019,A,Original
245,1388,COURSE25,Fall,2022,C,Original
246,1193,COURSE23,Summer,2021,D,Original
247,1442,COURSE29,Fall,2021,B,Original
248,1092,COURSE35,Fall,2022,F,Original
249,1319,COURSE39,Fall,2023,C,Original
250,1034,COURSE2,Fall,2019,D,Original
251,1146,COURSE39,Fall,2020,B,Original
252,1492,COURSE15,Spring,2021,C,Original
253,1116,COURSE38,Spring,2021,D,Original
254,1322,COURSE6,Fall,2023,B,Original
255,1384,COURSE50,Summer,2019,D,Original
256,1207,COURSE27,Spring,2020,D,Original
257,1186,COURSE48,Summer,2021,C,Original
258,1070,COURSE48,Fall,2023,A,Original
259,1270,COURSE26,Fall,2023,C,Original
260,1403,COURSE8,Fall,2020,F,Original
261,1203,COURSE17,Spring,2022,B,Original
262,1003,COURSE19,Summer,2019,B,Original
263,1497,COURSE22,Summer,2023,F,Original
264,1463,COURSE30,Summer,2019,B,Original
265,1242,COURSE27,Spring,2024,C,Original
266,1245,COURSE33,Fall,2020,D,Original
267,1002,COURSE28,Summer,2023,C,Original
268,1095,COURSE41,Spring,2022,D,Original
269,1319,COURSE50,Fall,2020,C,Original
270,1475,COURSE2,Summer,2024,F,Original
271,1013,COURSE24,Fall,2020,C,Original
272,1438,COURSE14,Fall,2019,A,Original
273,1057,COURSE48,Summer,2022,C,Original
274,1007,COURSE16,Summer,2021,F,Original
275,1229,COURSE20,Fall,2024,F,Original
276,1390,COURSE29,Fall,2021,A,Original
277,1212,COURSE41,Spring,2021,A,Original
278,1456,COURSE17,Summer,2020,F,Original
279,1467,COURSE18,Spring,2022,F,Original
280,1339,COURSE50,Fall,2022,A,Original
281,1211,COURSE49,Spring,2022,C,Original
282,1206,COURSE5,Spring,2022,B,Original
283,1108,COURSE43,Summer,2023,D,Original
284,1137,COURSE21,Summer,2023,D,Original
285,1102,COURSE24,Spring,2021,D,Original
286,1137,COURSE41,Fall,2024,D,Original
287,1089,COURSE25,Spring,2021,A,Original
288,1347,COURSE17,Fall,2021,D,Original
289,1002,COURSE12,Summer,2019,F,Original
290,1158,COURSE9,Fall,2019,C,Original
291,1131,COURSE6,Summer,2019,D,Original
292,1276,COURSE28,Summer,2023,C,Original
293,1139,COURSE6,Summer,2021,F,Original
294,1342,COURSE40,Summer,2023,A,Original
295,1265,COURSE40,Spring,2024,A,Original
296,1496,COURSE49,Summer,2023,A,Original
297,1014,COURSE6,Fall,2024,C,Original
298,1300,COURSE2,Fall,2019,C,Original
299,1137,COURSE44,Fall,2024,D,Original
300,1452,COURSE18,Summer,2021,A,Original
301,1378,COURSE43,Fall,2019,C,Original
302,1224,COURSE30,Summer,2020,B,Original
303,1192,COURSE44,Summer,2019,D,Original
304,1298,COURSE20,Fall,2020,A,Original
305,1136,COURSE26,Fall,2020,A,Original
306,1237,COURSE13,Fall,2019,B,Original
307,1322,COURSE21,Fall,2019,D,Original
308,1103,COURSE13,Fall,2023,F,Original
309,1298,COURSE32,Summer,2021,C,Original
310,1427,COURSE48,Spring,2020,D,Original
311,1283,COURSE11,Summer,2019,D,Original
312,1385,COURSE41,Spring,2024,D,Original
313,1435,COURSE16,Fall,2022,C,Original
314,1253,COURSE38,Fall,2021,B,Original
315,1387,COURSE48,Summer,2024,F,Original
316,1199,COURSE35,Fall,2021,D,Original
317,1410,COURSE3,Summer,2019,C,Original
318,1287,COURSE44,Fall,2021,D,Original
319,1455,COURSE1,Spring,2023,D,Original
320,1050,COURSE40,Spring,2020,C,Original
321,1121,COURSE30,Summer,2019,C,Original
322,1095,COURSE35,Fall,2023,A,Original
323,1379,COURSE28,Fall,2021,A,Original
324,1464,COURSE35,Summer,2022,D,Original
325,1339,COURSE26,Spring,2021,D,Original
326,1491,COURSE7,Fall,2020,A,Original
327,1095,COURSE5,Spring,2022,A,Original
328,1388,COURSE11,Fall,2024,F,Original
329,1364,COURSE43,Summer,2024,B,Original
330,1336,COURSE32,Summer,2021,C,Original
331,1084,COURSE9,Summer,2020,C,Original
332,1419,COURSE10,Fall,2019,D,Original
333,1219,COURSE37,Spring,2023,C,Original
334,1282,COURSE22,Summer,2020,F,Original
335,1097,COURSE26,Summer,2021,A,Original
336,1363,COURSE29,Spring,2021,C,Original
337,1411,COURSE18,Fall,2019,A,Original
338,1352,COURSE4,Summer,2024,D,Original
339,1233,COURSE45,Spring,2020,B,Original
340,1113,COURSE24,Summer,2020,D,Original
341,1220,COURSE49,Fall,2021,B,Original
342,1234,COURSE13,Summer,2023,D,Original
343,1339,COURSE15,Summer,2023,D,Original
344,1090,COURSE11,Summer,2023,C,Original
345,1400,COURSE34,Fall,2022,F,Original
346,1107,COURSE49,Spring,2019,C,Original
347,1014,COURSE44,Fall,2020,D,Original
348,1081,COURSE19,Summer,2021,D,Original
349,1046,COURSE15,Summer,2024,D,Original
350,1175,COURSE39,Fall,2024,F,Original
351,1430,COURSE34,Summer,2023,D,Original
352,1348,COURSE16,Summer,2023,D,Original
353,1257,COURSE10,Summer,2021,B,Original
354,1462,COURSE50,Summer,2024,C,Original
355,1424,COURSE22,Summer,2024,C,Original
356,1034,COURSE25,Summer,2020,D,Original
357,1085,COURSE6,Fall,2020,C,Original
358,1339,COURSE33,Fall,2022,A,Original
359,1287,COURSE18,Summer,2024,F,Original
360,1316,COURSE13,Spring,2022,C,Original
361,1478,COURSE5,Fall,2024,D,Original
362,1311,COURSE26,Fall,2024,B,Original
363,1130,COURSE6,Spring,2021,B,Original
364,1099,COURSE47,Summer,2024,D,Original
365,1280,COURSE2,Fall,2021,F,Original
366,1423,COURSE17,Spring,2024,B,Original
367,1347,COURSE9,Spring,2022,D,Original
368,1141,COURSE2,Spring,2020,B,Original
369,1476,COURSE27,Fall,2023,B,Original
370,1486,COURSE44,Fall,2020,A,Original
371,1104,COURSE24,Summer,2024,D,Original
372,1184,COURSE21,Spring,2022,C,Original
373,1329,COURSE36,Fall,2020,C,Original
374,1318,COURSE39,Spring,2023,B,Original
375,1223,COURSE41,Fall,2023,A,Original
376,1291,COURSE45,Fall,2020,F,Original
377,1412,COURSE7,Fall,2020,F,Original
378,1171,COURSE2,Spring,2024,C,Original
379,1354,COURSE43,Summer,2022,C,Original
380,1369,COURSE22,Spring,2022,B,Original
381,1432,COURSE16,Summer,2022,A,Original
382,1359,COURSE8,Spring,2020,B,Original
383,1099,COURSE25,Spring,2023,B,Original
384,1260,COURSE41,Fall,2020,A,Original
385,1366,COURSE44,Summer,2024,B,Original
386,1442,COURSE15,Fall,2022,F,Original
387,1295,COURSE8,Summer,2020,F,Original
388,1388,COURSE46,Spring,2024,B,Original
389,1037,COURSE33,Fall,2020,C,Original
390,1335,COURSE34,Spring,2023,A,Original
391,1399,COURSE12,Fall,2020,A,Original
392,1077,COURSE22,Fall,2020,F,Original
393,1234,COURSE28,Fall,2021,F,Original
394,1152,COURSE38,Fall,2020,D,Original
395,1418,COURSE1,Spring,2019,B,Original
396,1300,COURSE21,Spring,2022,A,Original
397,1406,COURSE26,Summer,2021,F,Original
398,1044,COURSE28,Summer,2023,A,Original
399,1404,COURSE5,Summer,2022,F,Original
400,1079,COURSE40,Summer,2022,B,Original
401,1302,COURSE9,Fall,2020,A,Original
402,1374,COURSE11,Summer,2022,C,Original
403,1409,COURSE15,Fall,2019,D,Original
404,1450,COURSE29,Summer,2020,D,Original
405,1256,COURSE2,Spring,2023,A,Original
406,1136,COURSE36,Summer,2019,F,Original
407,1264,COURSE18,Summer,2021,F,Original
408,1124,COURSE37,Summer,2024,B,Original
409,1297,COURSE3,Spring,2019,C,Original
410,1020,COURSE40,Summer,2023,C,Original
411,1222,COURSE48,Summer,2020,B,Original
412,1290,COURSE17,Fall,2019,D,Original
413,1348,COURSE48,Fall,2022,F,Original
414,1052,COURSE44,Fall,2023,D,Original
415,1500,COURSE38,Spring,2023,A,Original
416,1401,COURSE19,Fall,2020,A,Original
417,1005,COURSE27,Summer,2024,A,Original
418,1055,COURSE41,Spring,2024,A,Original
419,1498,COURSE33,Summer,2022,F,Original
420,1078,COURSE41,Summer,2020,F,Original
421,1038,COURSE12,Summer,2019,D,Original
422,1175,COURSE29,Fall,2020,F,Original
423,1186,COURSE45,Spring,2024,C,Original
424,1036,COURSE23,Spring,2021,B,Original
425,1476,COURSE26,Spring,2022,C,Original
426,1201,COURSE37,Summer,2020,C,Original
427,1108,COURSE37,Summer,2023,B,Original
428,1071,COURSE2,Fall,2022,D,Original
429,1281,COURSE8,Spring,2019,F,Original
430,1058,COURSE27,Summer,2021,C,Original
431,1031,COURSE39,Spring,2023,C,Original
432,1089,COURSE35,Fall,2023,A,Original
433,1497,COURSE42,Spring,2021,F,Original
434,1133,COURSE12,Spring,2022,F,Original
435,1279,COURSE46,Spring,2019,F,Original
436,1044,COURSE31,Fall,2020,D,Original
437,1251,COURSE3,Spring,2022,D,Original
438,1330,COURSE4,Fall,2019,C,Original
439,1394,COURSE41,Spring,2020,C,Original
440,1473,COURSE1,Summer,2021,A,Original
441,1083,COURSE44,Summer,2024,B,Original
442,1255,COURSE26,Fall,2020,C,Original
443,1104,COURSE24,Fall,2021,F,Original
444,1175,COURSE30,Fall,2023,B,Original
445,1454,COURSE31,Spring,2022,B,Original
446,1409,COURSE28,Spring,2023,B,Original
447,1023,COURSE24,Spring,2024,A,Original
448,1239,COURSE2,Spring,2023,A,Original
449,1037,COURSE43,Summer,2021,F,Original
450,1074,COURSE36,Summer,2024,C,Original
451,1485,COURSE47,Fall,2022,A,Original
452,1395,COURSE32,Summer,2021,F,Original
453,1021,COURSE13,Fall,2023,F,Original
454,1298,COURSE20,Spring,2024,B,Original
455,1319,COURSE24,Summer,2022,D,Original
456,1177,COURSE18,Summer,2019,B,Original
457,1294,COURSE4,Summer,2022,B,Original
458,1217,COURSE21,Summer,2019,F,Original
459,1136,COURSE36,Summer,2022,A,Original
460,1214,COURSE28,Summer,2022,C,Original
461,1168,COURSE47,Spring,2022,C,Original
462,1313,COURSE16,Summer,2023,B,Original
463,1417,COURSE43,Spring,2023,D,Original
464,1107,COURSE17,Summer,2023,B,Original
465,1085,COURSE7,Spring,2019,F,Original
466,1438,COURSE15,Summer,2019,C,Original
467,1104,COURSE32,Spring,2023,B,Original
468,1076,COURSE45,Fall,2020,C,Original
469,1468,COURSE11,Spring,2019,C,Original
470,1267,COURSE15,Fall,2022,A,Original
471,1043,COURSE12,Fall,2021,B,Original
472,1111,COURSE49,Spring,2022,F,Original
473,1315,COURSE24,Summer,2023,B,Original
474,1164,COURSE47,Fall,2020,C,Original
475,1002,COURSE26,Spring,2024,A,Original
476,1198,COURSE7,Spring,2020,A,Original
477,1151,COURSE38,Summer,2023,D,Original
478,1346,COURSE2,Spring,2022,D,Original
479,1199,COURSE43,Fall,2022,B,Original
480,1306,COURSE41,Fall,2021,D,Original
481,1488,COURSE33,Fall,2020,B,Original
482,1384,COURSE13,Summer,2021,F,Original
483,1456,COURSE47,Spring,2021,D,Original
484,1189,COURSE33,Fall,2024,A,Original
485,1493,COURSE10,Summer,2021,B,Original
486,1042,COURSE45,Spring,2020,F,Original
487,1370,COURSE2,Spring,2024,B,Original
488,1413,COURSE12,Summer,2020,B,Original
489,1341,COURSE27,Summer,2023,A,Original
490,1100,COURSE13,Summer,2021,F,Original
491,1499,COURSE38,Spring,2022,C,Original
492,1495,COURSE19,Summer,2024,C,Original
493,1225,COURSE19,Spring,2019,F,Original
494,1070,COURSE41,Fall,2024,F,Original
495,1157,COURSE42,Spring,2019,B,Original
496,1163,COURSE14,Spring,2023,A,Original
497,1274,COURSE9,Spring,2020,B,Original
498,1303,COURSE34,Summer,2024,B,Original
499,1150,COURSE7,Spring,2021,F,Original
500,1391,COURSE36,Spring,2019,A,Original
1,1425,COURSE99,Fall,2019,C,Synthetic
2,1129,COURSE135,Spring,2021,D,Synthetic
3,1190,COURSE105,Fall,2019,D,Synthetic
4,2932,COURSE89,Summer,2024,C,Synthetic
5,1632,COURSE138,Summer,2023,D,Synthetic
6,1006,COURSE82,Fall,2019,D,Synthetic
7,1604,COURSE97,Fall,2023,B,Synthetic
8,2084,COURSE55,Summer,2021,B,Synthetic
9,2249,COURSE123,Fall,2021,C,Synthetic
10,1989,COURSE74,Spring,2024,D,Synthetic
11,1913,COURSE111,Fall,2024,C,Synthetic
12,2809,COURSE126,Fall,2022,A,Synthetic
13,1005,COURSE138,Fall,2019,C,Synthetic
14,2341,COURSE129,Fall,2024,B,Synthetic
15,2498,COURSE150,Summer,2021,B,Synthetic
16,2642,COURSE73,Fall,2022,A,Synthetic
17,2695,COURSE122,Fall,2021,D,Synthetic
18,1586,COURSE107,Spring,2023,B,Synthetic
19,1855,COURSE133,Fall,2020,D,Synthetic
20,1711,COURSE58,Spring,2023,C,Synthetic
21,2957,COURSE132,Spring,2020,B,Synthetic
22,1463,COURSE75,Spring,2021,F,Synthetic
23,2073,COURSE101,Summer,2023,C,Synthetic
24,2817,COURSE128,Spring,2021,C,Synthetic
25,2216,COURSE120,Fall,2024,D,Synthetic
26,2394,COURSE142,Spring,2021,D,Synthetic
27,1262,COURSE123,Summer,2024,B,Synthetic
28,2497,COURSE51,Fall,2021,C,Synthetic
29,1810,COURSE72,Spring,2023,D,Synthetic
30,1486,COURSE115,Fall,2019,F,Synthetic
31,1680,COURSE64,Fall,2020,B,Synthetic
32,1675,COURSE145,Fall,2020,C,Synthetic
33,1043,COURSE79,Summer,2019,F,Synthetic
34,2111,COURSE79,Fall,2024,F,Synthetic
35,2694,COURSE84,Spring,2020,D,Synthetic
36,1282,COURSE85,Fall,2024,F,Synthetic
37,1055,COURSE53,Fall,2021,C,Synthetic
38,1478,COURSE77,Fall,2024,A,Synthetic
39,1869,COURSE116,Summer,2023,C,Synthetic
40,2352,COURSE95,Fall,2020,C,Synthetic
41,2128,COURSE139,Spring,2019,B,Synthetic
42,2041,COURSE109,Fall,2023,B,Synthetic
43,2480,COURSE57,Summer,2022,A,Synthetic
44,2436,COURSE94,Spring,2024,A,Synthetic
45,1383,COURSE100,Fall,2020,D,Synthetic
46,2057,COURSE73,Summer,2021,C,Synthetic
47,1377,COURSE61,Spring,2020,A,Synthetic
48,2965,COURSE90,Fall,2023,C,Synthetic
49,2703,COURSE97,Spring,2022,D,Synthetic
50,2323,COURSE123,Fall,2021,A,Synthetic
51,1571,COURSE118,Spring,2022,A,Synthetic
52,1556,COURSE100,Summer,2019,C,Synthetic
53,2080,COURSE113,Fall,2019,C,Synthetic
54,1462,COURSE121,Fall,2022,A,Synthetic
55,2959,COURSE102,Fall,2021,F,Synthetic
56,1218,COURSE140,Spring,2021,C,Synthetic
57,2719,COURSE130,Summer,2021,B,Synthetic
58,2802,COURSE59,Spring,2023,D,Synthetic
59,2494,COURSE66,Summer,2023,C,Synthetic
60,1769,COURSE90,Spring,2022,C,Synthetic
61,2664,COURSE145,Summer,2020,B,Synthetic
62,1180,COURSE106,Spring,2023,C,Synthetic
63,2786,COURSE55,Fall,2019,C,Synthetic
64,2952,COURSE141,Fall,2019,D,Synthetic
65,2939,COURSE72,Fall,2021,B,Synthetic
66,2753,COURSE150,Fall,2023,C,Synthetic
67,2261,COURSE65,Spring,2024,D,Synthetic
68,1777,COURSE117,Fall,2020,B,Synthetic
69,1222,COURSE128,Spring,2019,C,Synthetic
70,1936,COURSE132,Spring,2024,B,Synthetic
71,2860,COURSE63,Fall,2021,C,Synthetic
72,2564,COURSE127,Fall,2020,B,Synthetic
73,2400,COURSE57,Fall,2023,A,Synthetic
74,2620,COURSE119,Fall,2019,D,Synthetic
75,2543,COURSE90,Spring,2021,C,Synthetic
76,2484,COURSE88,Fall,2024,F,Synthetic
77,2663,COURSE137,Spring,2022,C,Synthetic
78,1950,COURSE116,Fall,2020,F,Synthetic
79,2831,COURSE80,Spring,2023,C,Synthetic
80,1896,COURSE118,Spring,2022,F,Synthetic
81,2838,COURSE78,Fall,2020,B,Synthetic
82,1705,COURSE87,Spring,2021,C,Synthetic
83,1372,COURSE88,Spring,2019,C,Synthetic
84,2387,COURSE114,Spring,2024,D,Synthetic
85,1606,COURSE131,Summer,2022,A,Synthetic
86,1144,COURSE75,Spring,2019,D,Synthetic
87,2966,COURSE81,Fall,2022,F,Synthetic
88,2878,COURSE125,Fall,2023,B,Synthetic
89,2358,COURSE108,Spring,2024,D,Synthetic
90,2327,COURSE59,Fall,2020,D,Synthetic
91,2230,COURSE102,Spring,2019,D,Synthetic
92,2676,COURSE91,Summer,2021,A,Synthetic
93,2567,COURSE110,Spring,2022,D,Synthetic
