AttendanceID,StudentID,CourseID,Date,AttendanceStatus,Date_Year,Date_Month,Date_Day,Date_DayOfWeek
102,1478,COURSE17,2023-04-24,Present,2023,4,24,0
103,1191,COURSE46,2022-07-05,Absent,2022,7,5,1
104,1415,COURSE46,2021-12-03,Absent,2021,12,3,4
105,1445,COURSE19,2023-01-05,Present,2023,1,5,3
106,1005,COURSE24,2021-05-21,Absent,2021,5,21,4
107,1392,COURSE4,2020-06-17,Absent,2020,6,17,2
108,1403,COURSE36,2022-12-25,Present,2022,12,25,6
109,1301,COURSE37,2022-02-17,Present,2022,2,17,3
110,1106,COURSE18,2024-03-17,Absent,2024,3,17,6
111,1313,COURSE43,2021-01-24,Present,2021,1,24,6
112,1246,COURSE49,2020-10-08,Present,2020,10,8,3
113,1252,COURSE10,2022-08-07,Absent,2022,8,7,6
114,1303,COURSE49,2022-08-02,Present,2022,8,2,1
115,1306,COURSE46,2024-12-08,Absent,2024,12,8,6
116,1065,COURSE45,2021-12-06,Absent,2021,12,6,0
117,1274,COURSE15,2024-01-27,Absent,2024,1,27,5
118,1187,COURSE43,2023-07-31,Present,2023,7,31,0
119,1158,COURSE19,2022-06-25,Present,2022,6,25,5
120,1304,COURSE7,2020-08-23,Present,2020,8,23,6
121,1317,COURSE18,2021-10-18,Present,2021,10,18,0
122,1472,COURSE45,2020-10-18,Present,2020,10,18,6
123,1166,COURSE7,2021-04-12,Absent,2021,4,12,0
124,1214,COURSE44,2023-04-10,Absent,2023,4,10,0
125,1380,COURSE13,2024-05-14,Present,2024,5,14,1
126,1179,COURSE22,2022-06-11,Absent,2022,6,11,5
127,1426,COURSE1,2021-07-22,Absent,2021,7,22,3
128,1354,COURSE15,2023-04-04,Absent,2023,4,4,1
129,1186,COURSE46,2020-04-27,Present,2020,4,27,0
130,1306,COURSE43,2020-10-29,Present,2020,10,29,3
131,1184,COURSE20,2021-11-09,Present,2021,11,9,1
132,1217,COURSE12,2023-07-22,Present,2023,7,22,5
133,1426,COURSE50,2021-04-30,Absent,2021,4,30,4
134,1214,COURSE3,2020-10-21,Present,2020,10,21,2
135,1270,COURSE8,2020-12-31,Absent,2020,12,31,3
136,1440,COURSE42,2022-11-12,Present,2022,11,12,5
137,1122,COURSE37,2022-06-03,Absent,2022,6,3,4
138,1202,COURSE26,2021-10-22,Present,2021,10,22,4
139,1438,COURSE11,2022-07-29,Present,2022,7,29,4
140,1441,COURSE38,2024-11-12,Present,2024,11,12,1
141,1348,COURSE7,2023-11-10,Present,2023,11,10,4
142,1112,COURSE49,2020-10-08,Present,2020,10,8,3
143,1199,COURSE19,2020-02-18,Absent,2020,2,18,1
144,1447,COURSE16,2024-04-20,Present,2024,4,20,5
145,1073,COURSE36,2024-09-14,Present,2024,9,14,5
146,1290,COURSE19,2020-02-11,Absent,2020,2,11,1
147,1066,COURSE5,2022-06-09,Present,2022,6,9,3
148,1404,COURSE2,2021-12-14,Present,2021,12,14,1
149,1342,COURSE24,2022-03-19,Present,2022,3,19,5
150,1357,COURSE29,2022-11-23,Absent,2022,11,23,2
151,1427,COURSE37,2020-06-22,Absent,2020,6,22,0
152,1445,COURSE15,2023-08-04,Present,2023,8,4,4
153,1337,COURSE42,2022-01-17,Absent,2022,1,17,0
154,1071,COURSE8,2022-12-25,Absent,2022,12,25,6
155,1270,COURSE43,2024-06-24,Present,2024,6,24,0
156,1064,COURSE23,2020-06-13,Absent,2020,6,13,5
157,1318,COURSE22,2024-08-13,Present,2024,8,13,1
158,1454,COURSE17,2024-02-03,Absent,2024,2,3,5
159,1260,COURSE13,2021-04-22,Absent,2021,4,22,3
160,1192,COURSE32,2023-02-03,Absent,2023,2,3,4
161,1002,COURSE46,2022-07-07,Present,2022,7,7,3
162,1198,COURSE16,2022-09-24,Present,2022,9,24,5
163,1194,COURSE17,2022-06-03,Absent,2022,6,3,4
164,1346,COURSE5,2021-10-08,Absent,2021,10,8,4
165,1347,COURSE5,2022-05-17,Absent,2022,5,17,1
166,1444,COURSE13,2020-12-14,Present,2020,12,14,0
167,1419,COURSE31,2024-12-09,Present,2024,12,9,0
168,1291,COURSE40,2021-01-31,Present,2021,1,31,6
169,1131,COURSE24,2020-11-11,Present,2020,11,11,2
170,1141,COURSE36,2022-04-25,Present,2022,4,25,0
171,1315,COURSE39,2023-02-15,Present,2023,2,15,2
172,1290,COURSE17,2022-08-14,Present,2022,8,14,6
173,1146,COURSE13,2021-10-28,Absent,2021,10,28,3
174,1223,COURSE47,2022-05-20,Present,2022,5,20,4
175,1067,COURSE20,2020-05-25,Absent,2020,5,25,0
176,1352,COURSE49,2022-02-03,Present,2022,2,3,3
177,1327,COURSE20,2023-11-10,Present,2023,11,10,4
178,1214,COURSE14,2023-07-22,Absent,2023,7,22,5
179,1303,COURSE15,2020-11-13,Absent,2020,11,13,4
180,1398,COURSE19,2020-04-19,Present,2020,4,19,6
181,1437,COURSE26,2020-08-15,Absent,2020,8,15,5
182,1475,COURSE22,2024-06-04,Present,2024,6,4,1
183,1207,COURSE34,2021-10-08,Absent,2021,10,8,4
184,1221,COURSE41,2024-11-03,Absent,2024,11,3,6
185,1165,COURSE24,2023-12-27,Present,2023,12,27,2
186,1348,COURSE22,2020-01-05,Present,2020,1,5,6
187,1209,COURSE45,2020-12-23,Absent,2020,12,23,2
188,1214,COURSE42,2020-04-23,Present,2020,4,23,3
189,1340,COURSE27,2021-03-20,Absent,2021,3,20,5
190,1440,COURSE17,2024-06-20,Absent,2024,6,20,3
191,1247,COURSE45,2020-12-14,Present,2020,12,14,0
192,1469,COURSE1,2021-01-25,Present,2021,1,25,0
193,1455,COURSE29,2023-06-27,Present,2023,6,27,1
194,1323,COURSE26,2022-06-18,Absent,2022,6,18,5
195,1203,COURSE32,2022-02-11,Absent,2022,2,11,4
196,1032,COURSE13,2023-04-04,Absent,2023,4,4,1
197,1052,COURSE16,2024-08-14,Absent,2024,8,14,2
198,1184,COURSE11,2020-01-03,Absent,2020,1,3,4
199,1138,COURSE49,2024-07-04,Present,2024,7,4,3
200,1373,COURSE21,2020-02-22,Absent,2020,2,22,5
201,1442,COURSE46,2024-08-19,Present,2024,8,19,0
202,1382,COURSE3,2023-11-19,Absent,2023,11,19,6
203,1087,COURSE8,2022-04-15,Present,2022,4,15,4
204,1479,COURSE39,2021-08-23,Present,2021,8,23,0
205,1430,COURSE39,2021-06-19,Present,2021,6,19,5
206,1270,COURSE11,2021-01-01,Present,2021,1,1,4
207,1066,COURSE3,2024-04-03,Present,2024,4,3,2
208,1475,COURSE9,2021-01-24,Present,2021,1,24,6
209,1242,COURSE39,2022-08-07,Absent,2022,8,7,6
210,1339,COURSE20,2024-01-06,Present,2024,1,6,5
211,1128,COURSE9,2021-05-26,Present,2021,5,26,2
212,1149,COURSE7,2024-03-30,Present,2024,3,30,5
213,1001,COURSE44,2023-03-12,Absent,2023,3,12,6
214,1475,COURSE40,2021-03-03,Absent,2021,3,3,2
215,1454,COURSE38,2024-06-03,Absent,2024,6,3,0
216,1037,COURSE32,2021-10-03,Absent,2021,10,3,6
217,1017,COURSE23,2024-07-26,Present,2024,7,26,4
218,1485,COURSE20,2021-04-06,Present,2021,4,6,1
219,1151,COURSE4,2024-01-03,Present,2024,1,3,2
220,1318,COURSE10,2023-10-12,Absent,2023,10,12,3
221,1299,COURSE48,2023-10-17,Absent,2023,10,17,1
222,1401,COURSE42,2022-11-05,Absent,2022,11,5,5
223,1498,COURSE6,2022-03-05,Present,2022,3,5,5
224,1263,COURSE20,2024-12-17,Absent,2024,12,17,1
225,1405,COURSE27,2021-11-17,Present,2021,11,17,2
226,1267,COURSE30,2020-08-24,Present,2020,8,24,0
227,1076,COURSE15,2021-08-01,Absent,2021,8,1,6
228,1067,COURSE23,2021-05-12,Present,2021,5,12,2
229,1094,COURSE36,2021-08-02,Present,2021,8,2,0
230,1080,COURSE34,2020-08-26,Absent,2020,8,26,2
231,1475,COURSE7,2024-11-16,Absent,2024,11,16,5
232,1173,COURSE6,2020-03-17,Present,2020,3,17,1
233,1339,COURSE8,2022-05-28,Absent,2022,5,28,5
234,1280,COURSE19,2023-08-06,Absent,2023,8,6,6
235,1055,COURSE17,2020-11-22,Absent,2020,11,22,6
236,1419,COURSE30,2020-11-13,Absent,2020,11,13,4
237,1022,COURSE1,2022-07-24,Present,2022,7,24,6
238,1106,COURSE44,2021-09-19,Absent,2021,9,19,6
239,1143,COURSE37,2022-08-14,Absent,2022,8,14,6
240,1444,COURSE9,2022-09-17,Absent,2022,9,17,5
241,1399,COURSE33,2022-01-10,Absent,2022,1,10,0
242,1089,COURSE38,2020-02-08,Absent,2020,2,8,5
243,1385,COURSE1,2020-07-21,Absent,2020,7,21,1
244,1081,COURSE9,2024-03-05,Present,2024,3,5,1
245,1402,COURSE4,2024-04-26,Absent,2024,4,26,4
246,1010,COURSE16,2020-09-04,Present,2020,9,4,4
247,1191,COURSE11,2021-07-24,Absent,2021,7,24,5
248,1232,COURSE2,2024-01-04,Present,2024,1,4,3
249,1251,COURSE24,2022-09-04,Absent,2022,9,4,6
250,1118,COURSE22,2024-01-14,Present,2024,1,14,6
251,1320,COURSE49,2020-07-30,Present,2020,7,30,3
252,1036,COURSE12,2021-06-06,Present,2021,6,6,6
253,1032,COURSE26,2023-10-30,Absent,2023,10,30,0
254,1210,COURSE30,2024-12-27,Present,2024,12,27,4
255,1237,COURSE14,2020-03-16,Absent,2020,3,16,0
256,1339,COURSE18,2022-06-01,Present,2022,6,1,2
257,1327,COURSE41,2020-07-11,Absent,2020,7,11,5
258,1158,COURSE12,2024-04-01,Absent,2024,4,1,0
259,1483,COURSE10,2023-02-22,Present,2023,2,22,2
260,1076,COURSE36,2021-10-18,Present,2021,10,18,0
261,1276,COURSE45,2021-07-16,Absent,2021,7,16,4
262,1089,COURSE50,2024-04-07,Absent,2024,4,7,6
263,1344,COURSE35,2024-04-26,Absent,2024,4,26,4
264,1459,COURSE41,2024-12-20,Absent,2024,12,20,4
265,1213,COURSE49,2022-04-18,Absent,2022,4,18,0
266,1284,COURSE46,2023-02-25,Absent,2023,2,25,5
267,1287,COURSE11,2020-08-14,Absent,2020,8,14,4
268,1044,COURSE22,2020-11-10,Present,2020,11,10,1
269,1496,COURSE17,2022-04-13,Absent,2022,4,13,2
270,1484,COURSE3,2022-02-10,Present,2022,2,10,3
271,1192,COURSE19,2023-10-22,Absent,2023,10,22,6
272,1216,COURSE39,2021-11-11,Present,2021,11,11,3
273,1191,COURSE38,2020-01-07,Present,2020,1,7,1
274,1123,COURSE14,2020-06-30,Present,2020,6,30,1
275,1323,COURSE8,2022-10-11,Present,2022,10,11,1
276,1472,COURSE24,2023-12-26,Absent,2023,12,26,1
277,1247,COURSE1,2023-01-08,Present,2023,1,8,6
278,1306,COURSE5,2020-03-05,Present,2020,3,5,3
279,1222,COURSE2,2021-03-02,Present,2021,3,2,1
280,1173,COURSE35,2023-10-08,Absent,2023,10,8,6
281,1067,COURSE18,2024-01-23,Present,2024,1,23,1
282,1182,COURSE43,2024-08-18,Absent,2024,8,18,6
283,1007,COURSE24,2024-05-19,Absent,2024,5,19,6
284,1118,COURSE41,2020-11-18,Absent,2020,11,18,2
285,1283,COURSE48,2020-09-28,Present,2020,9,28,0
286,1179,COURSE36,2024-05-04,Absent,2024,5,4,5
287,1229,COURSE33,2020-02-14,Present,2020,2,14,4
288,1424,COURSE14,2020-10-29,Absent,2020,10,29,3
289,1100,COURSE30,2021-09-01,Absent,2021,9,1,2
290,1171,COURSE4,2022-01-12,Present,2022,1,12,2
291,1366,COURSE3,2023-09-08,Present,2023,9,8,4
292,1031,COURSE10,2020-11-14,Present,2020,11,14,5
293,1489,COURSE9,2024-09-20,Present,2024,9,20,4
294,1186,COURSE22,2021-08-08,Absent,2021,8,8,6
295,1286,COURSE42,2020-04-23,Absent,2020,4,23,3
296,1138,COURSE44,2024-09-03,Present,2024,9,3,1
297,1147,COURSE18,2024-05-20,Absent,2024,5,20,0
298,1065,COURSE44,2020-09-16,Absent,2020,9,16,2
299,1183,COURSE15,2020-05-29,Present,2020,5,29,4
300,1072,COURSE39,2022-10-25,Present,2022,10,25,1
301,1277,COURSE6,2023-01-10,Absent,2023,1,10,1
302,1228,COURSE14,2020-01-09,Absent,2020,1,9,3
303,1093,COURSE4,2023-11-10,Absent,2023,11,10,4
304,1175,COURSE4,2023-03-23,Present,2023,3,23,3
305,1403,COURSE4,2022-10-06,Present,2022,10,6,3
306,1146,COURSE12,2021-09-02,Absent,2021,9,2,3
307,1051,COURSE39,2023-07-10,Absent,2023,7,10,0
308,1037,COURSE9,2024-11-30,Absent,2024,11,30,5
309,1066,COURSE17,2023-10-20,Present,2023,10,20,4
310,1429,COURSE48,2021-04-06,Absent,2021,4,6,1
311,1212,COURSE50,2020-09-23,Present,2020,9,23,2
312,1177,COURSE24,2020-07-09,Present,2020,7,9,3
313,1143,COURSE39,2020-11-21,Absent,2020,11,21,5
314,1052,COURSE23,2022-10-02,Absent,2022,10,2,6
315,1044,COURSE32,2023-02-02,Absent,2023,2,2,3
316,1163,COURSE38,2023-07-13,Present,2023,7,13,3
317,1133,COURSE16,2021-02-27,Absent,2021,2,27,5
318,1401,COURSE42,2020-03-27,Present,2020,3,27,4
319,1169,COURSE41,2020-05-19,Absent,2020,5,19,1
320,1283,COURSE47,2022-06-03,Present,2022,6,3,4
321,1138,COURSE18,2020-01-14,Present,2020,1,14,1
322,1054,COURSE33,2024-04-19,Present,2024,4,19,4
323,1039,COURSE17,2020-06-07,Absent,2020,6,7,6
324,1419,COURSE4,2020-03-25,Present,2020,3,25,2
325,1261,COURSE35,2021-02-23,Absent,2021,2,23,1
326,1271,COURSE18,2022-02-04,Absent,2022,2,4,4
327,1061,COURSE45,2023-02-18,Present,2023,2,18,5
328,1337,COURSE1,2021-01-31,Present,2021,1,31,6
329,1048,COURSE46,2021-12-18,Absent,2021,12,18,5
330,1219,COURSE2,2020-08-04,Absent,2020,8,4,1
331,1058,COURSE11,2022-02-15,Absent,2022,2,15,1
332,1021,COURSE47,2022-04-08,Absent,2022,4,8,4
333,1194,COURSE33,2023-07-18,Absent,2023,7,18,1
334,1041,COURSE29,2022-01-14,Present,2022,1,14,4
335,1137,COURSE49,2023-09-24,Present,2023,9,24,6
336,1360,COURSE40,2020-11-26,Absent,2020,11,26,3
337,1005,COURSE34,2021-09-18,Absent,2021,9,18,5
338,1117,COURSE39,2021-02-22,Absent,2021,2,22,0
339,1218,COURSE29,2021-12-11,Present,2021,12,11,5
340,1176,COURSE9,2021-12-09,Present,2021,12,9,3
341,1408,COURSE27,2021-05-22,Absent,2021,5,22,5
342,1265,COURSE16,2020-12-30,Present,2020,12,30,2
343,1400,COURSE9,2021-08-27,Present,2021,8,27,4
344,1284,COURSE14,2020-08-07,Present,2020,8,7,4
345,1277,COURSE22,2023-02-18,Absent,2023,2,18,5
346,1264,COURSE5,2023-02-21,Absent,2023,2,21,1
347,1329,COURSE33,2022-07-11,Present,2022,7,11,0
348,1464,COURSE28,2022-03-31,Present,2022,3,31,3
349,1470,COURSE29,2023-06-12,Present,2023,6,12,0
350,1282,COURSE4,2023-10-04,Absent,2023,10,4,2
351,1074,COURSE43,2024-11-21,Present,2024,11,21,3
352,1496,COURSE9,2021-07-04,Present,2021,7,4,6
353,1475,COURSE13,2022-12-03,Present,2022,12,3,5
354,1094,COURSE16,2022-02-06,Present,2022,2,6,6
355,1100,COURSE16,2023-01-25,Absent,2023,1,25,2
356,1023,COURSE46,2020-03-16,Present,2020,3,16,0
357,1354,COURSE19,2020-07-12,Present,2020,7,12,6
358,1027,COURSE3,2020-02-06,Absent,2020,2,6,3
359,1389,COURSE35,2022-08-22,Present,2022,8,22,0
360,1181,COURSE3,2021-02-15,Absent,2021,2,15,0
361,1108,COURSE1,2020-05-22,Present,2020,5,22,4
362,1225,COURSE19,2021-11-10,Present,2021,11,10,2
363,1040,COURSE1,2020-07-05,Absent,2020,7,5,6
364,1388,COURSE21,2024-06-10,Present,2024,6,10,0
365,1193,COURSE7,2021-01-23,Present,2021,1,23,5
366,1401,COURSE32,2022-04-04,Present,2022,4,4,0
367,1445,COURSE13,2021-04-13,Absent,2021,4,13,1
368,1055,COURSE35,2022-08-29,Absent,2022,8,29,0
369,1153,COURSE35,2023-03-14,Present,2023,3,14,1
370,1338,COURSE29,2024-08-10,Present,2024,8,10,5
371,1247,COURSE11,2021-04-23,Present,2021,4,23,4
372,1358,COURSE10,2020-01-19,Present,2020,1,19,6
373,1211,COURSE3,2022-09-24,Absent,2022,9,24,5
374,1122,COURSE30,2022-12-18,Absent,2022,12,18,6
375,1232,COURSE30,2023-07-22,Present,2023,7,22,5
376,1202,COURSE19,2024-07-07,Present,2024,7,7,6
377,1393,COURSE11,2024-12-27,Present,2024,12,27,4
378,1043,COURSE3,2021-09-22,Absent,2021,9,22,2
379,1161,COURSE11,2021-08-04,Absent,2021,8,4,2
380,1462,COURSE1,2022-10-13,Absent,2022,10,13,3
381,1263,COURSE5,2023-07-05,Absent,2023,7,5,2
382,1438,COURSE1,2024-10-29,Absent,2024,10,29,1
383,1150,COURSE28,2020-09-20,Present,2020,9,20,6
384,1408,COURSE24,2023-04-24,Absent,2023,4,24,0
385,1151,COURSE43,2020-09-05,Absent,2020,9,5,5
386,1011,COURSE30,2020-12-25,Absent,2020,12,25,4
387,1297,COURSE31,2023-06-25,Absent,2023,6,25,6
388,1004,COURSE13,2020-01-20,Absent,2020,1,20,0
389,1226,COURSE19,2021-11-23,Present,2021,11,23,1
390,1040,COURSE23,2024-04-12,Present,2024,4,12,4
391,1215,COURSE11,2024-09-27,Present,2024,9,27,4
392,1405,COURSE28,2024-12-01,Absent,2024,12,1,6
393,1150,COURSE17,2021-02-13,Present,2021,2,13,5
394,1462,COURSE1,2022-11-24,Absent,2022,11,24,3
395,1065,COURSE23,2024-02-10,Present,2024,2,10,5
396,1200,COURSE28,2021-05-15,Absent,2021,5,15,5
397,1096,COURSE31,2022-01-28,Present,2022,1,28,4
398,1330,COURSE27,2023-05-20,Present,2023,5,20,5
399,1416,COURSE9,2024-09-05,Absent,2024,9,5,3
400,1394,COURSE10,2021-04-11,Absent,2021,4,11,6
401,1218,COURSE22,2021-02-25,Present,2021,2,25,3
402,1400,COURSE3,2024-01-27,Absent,2024,1,27,5
403,1476,COURSE48,2023-08-01,Present,2023,8,1,1
404,1436,COURSE5,2020-12-19,Absent,2020,12,19,5
405,1073,COURSE33,2022-11-07,Absent,2022,11,7,0
406,1330,COURSE8,2021-12-24,Present,2021,12,24,4
407,1347,COURSE20,2022-08-10,Absent,2022,8,10,2
408,1440,COURSE36,2024-06-01,Present,2024,6,1,5
409,1190,COURSE2,2020-08-24,Present,2020,8,24,0
410,1313,COURSE5,2020-09-11,Present,2020,9,11,4
411,1365,COURSE8,2023-06-04,Absent,2023,6,4,6
412,1469,COURSE14,2020-01-31,Present,2020,1,31,4
413,1467,COURSE42,2024-04-07,Absent,2024,4,7,6
414,1053,COURSE35,2024-05-23,Present,2024,5,23,3
415,1379,COURSE43,2021-07-27,Present,2021,7,27,1
416,1173,COURSE23,2022-01-13,Absent,2022,1,13,3
417,1289,COURSE46,2022-07-12,Absent,2022,7,12,1
418,1113,COURSE44,2020-12-30,Present,2020,12,30,2
419,1011,COURSE2,2020-09-09,Present,2020,9,9,2
420,1241,COURSE13,2022-10-13,Absent,2022,10,13,3
421,1067,COURSE39,2022-02-27,Present,2022,2,27,6
422,1333,COURSE32,2023-06-05,Present,2023,6,5,0
423,1404,COURSE12,2023-09-13,Absent,2023,9,13,2
424,1129,COURSE24,2021-05-29,Absent,2021,5,29,5
425,1452,COURSE50,2023-08-27,Absent,2023,8,27,6
426,1482,COURSE37,2023-07-16,Present,2023,7,16,6
427,1028,COURSE13,2020-03-04,Present,2020,3,4,2
428,1106,COURSE26,2022-03-21,Present,2022,3,21,0
429,1385,COURSE6,2023-04-26,Absent,2023,4,26,2
430,1491,COURSE49,2022-07-25,Present,2022,7,25,0
431,1255,COURSE17,2024-11-29,Present,2024,11,29,4
432,1245,COURSE42,2023-10-20,Present,2023,10,20,4
433,1441,COURSE12,2021-09-16,Present,2021,9,16,3
434,1113,COURSE50,2023-11-28,Present,2023,11,28,1
435,1227,COURSE8,2023-04-14,Absent,2023,4,14,4
436,1121,COURSE32,2021-04-27,Present,2021,4,27,1
437,1287,COURSE30,2020-03-17,Present,2020,3,17,1
438,1109,COURSE15,2021-12-25,Present,2021,12,25,5
439,1403,COURSE50,2024-08-02,Absent,2024,8,2,4
440,1151,COURSE34,2023-09-13,Present,2023,9,13,2
441,1400,COURSE43,2024-07-23,Absent,2024,7,23,1
442,1327,COURSE23,2024-06-04,Absent,2024,6,4,1
443,1007,COURSE12,2020-07-03,Absent,2020,7,3,4
444,1096,COURSE40,2022-06-18,Present,2022,6,18,5
445,1097,COURSE27,2021-02-02,Absent,2021,2,2,1
446,1280,COURSE41,2023-05-09,Absent,2023,5,9,1
447,1330,COURSE25,2021-07-30,Absent,2021,7,30,4
448,1315,COURSE22,2021-03-01,Present,2021,3,1,0
449,1198,COURSE4,2022-07-22,Present,2022,7,22,4
450,1059,COURSE26,2024-07-10,Present,2024,7,10,2
451,1347,COURSE40,2024-12-24,Present,2024,12,24,1
452,1099,COURSE22,2020-04-13,Present,2020,4,13,0
453,1390,COURSE44,2023-04-12,Absent,2023,4,12,2
454,1249,COURSE13,2023-07-26,Absent,2023,7,26,2
455,1232,COURSE6,2024-05-26,Absent,2024,5,26,6
