GradeID,StudentID,CourseID,AssignmentType,Score,Date
47,1170,COURSE47,Final Exam,85.0,2024-09-18 00:00:00
48,1239,COURSE3,Quiz,71.0,2024-05-02 00:00:00
49,1457,COURSE45,Final Exam,69.0,2021-04-28 00:00:00
50,1447,COURSE36,Midterm,80.0,2021-11-20 00:00:00
51,1284,COURSE23,Quiz,62.0,2024-04-22 00:00:00
52,1048,COURSE3,Quiz,94.0,2021-09-01 00:00:00
53,1165,COURSE7,Quiz,63.0,2022-03-16 00:00:00
54,1056,COURSE15,Assignment,81.0,2024-10-22 00:00:00
55,1137,COURSE10,Midterm,64.0,2022-03-26 00:00:00
56,1145,COURSE1,Midterm,69.0,2022-02-25 00:00:00
57,1258,COURSE2,Final Exam,75.0,2022-03-18 00:00:00
58,1298,COURSE18,Final Exam,82.0,2021-07-14 00:00:00
59,1242,COURSE48,Midterm,87.0,2021-07-07 00:00:00
60,1400,COURSE38,Quiz,67.0,2024-03-20 00:00:00
61,1387,COURSE43,Midterm,98.0,2022-10-15 00:00:00
62,1044,COURSE43,Assignment,69.0,2024-10-21 00:00:00
63,1369,COURSE16,Midterm,100.0,2020-11-16 00:00:00
64,1036,COURSE25,Quiz,63.0,2022-11-07 00:00:00
65,1207,COURSE46,Assignment,88.0,2022-12-29 00:00:00
66,1205,COURSE41,Final Exam,63.0,2022-10-23 00:00:00
67,1219,COURSE49,Assignment,79.0,2024-10-15 00:00:00
68,1377,COURSE16,Final Exam,79.0,2020-12-29 00:00:00
69,1315,COURSE50,Quiz,70.0,2021-05-31 00:00:00
70,1015,COURSE46,Quiz,77.0,2020-01-17 00:00:00
71,1477,COURSE32,Final Exam,68.0,2023-06-23 00:00:00
72,1067,COURSE14,Assignment,89.0,2023-02-11 00:00:00
73,1026,COURSE2,Final Exam,90.0,2020-06-03 00:00:00
74,1479,COURSE49,Midterm,95.0,2023-09-08 00:00:00
75,1467,COURSE48,Quiz,62.0,2020-02-27 00:00:00
76,1371,COURSE32,Quiz,80.0,2024-01-16 00:00:00
77,1499,COURSE48,Assignment,70.0,2021-01-18 00:00:00
78,1257,COURSE46,Quiz,100.0,2020-09-07 00:00:00
79,1219,COURSE4,Assignment,66.0,2022-08-30 00:00:00
80,1356,COURSE50,Midterm,97.0,2021-11-29 00:00:00
81,1047,COURSE19,Quiz,67.0,2020-07-29 00:00:00
82,1012,COURSE33,Assignment,92.0,2021-04-15 00:00:00
83,1100,COURSE33,Quiz,69.0,2022-01-16 00:00:00
84,1166,COURSE7,Quiz,92.0,2021-09-01 00:00:00
85,1426,COURSE42,Assignment,86.0,2023-03-08 00:00:00
86,1374,COURSE39,Midterm,82.0,2022-03-17 00:00:00
87,1016,COURSE45,Final Exam,76.0,2021-03-17 00:00:00
88,1186,COURSE32,Assignment,81.0,2022-08-23 00:00:00
89,1019,COURSE15,Quiz,97.0,2023-11-05 00:00:00
90,1410,COURSE8,Final Exam,69.0,2022-07-09 00:00:00
91,1441,COURSE31,Assignment,72.0,2024-04-16 00:00:00
92,1121,COURSE28,Quiz,94.0,2023-04-03 00:00:00
93,1294,COURSE4,Assignment,64.0,2021-05-17 00:00:00
94,1123,COURSE42,Quiz,90.0,2022-11-06 00:00:00
95,1326,COURSE20,Final Exam,98.0,2023-08-05 00:00:00
96,1232,COURSE29,Midterm,65.0,2022-10-20 00:00:00
97,1409,COURSE43,Midterm,91.0,2024-10-31 00:00:00
98,1045,COURSE18,Final Exam,63.0,2023-10-02 00:00:00
99,1176,COURSE13,Midterm,70.0,2024-03-25 00:00:00
100,1400,COURSE21,Assignment,93.0,2023-10-12 00:00:00
101,1270,COURSE8,Assignment,60.0,2020-08-05 00:00:00
102,1146,COURSE15,Midterm,61.0,2024-05-12 00:00:00
103,1056,COURSE36,Midterm,70.0,2024-07-14 00:00:00
104,1135,COURSE3,Final Exam,74.0,2022-07-10 00:00:00
105,1190,COURSE41,Assignment,79.0,2020-08-17 00:00:00
106,1368,COURSE16,Quiz,92.0,2023-02-03 00:00:00
107,1069,COURSE40,Final Exam,80.0,2022-10-12 00:00:00
108,1370,COURSE46,Assignment,71.0,2022-04-13 00:00:00
109,1029,COURSE47,Assignment,100.0,2023-08-02 00:00:00
110,1399,COURSE22,Quiz,85.0,2023-02-22 00:00:00
111,1335,COURSE37,Assignment,67.0,2022-02-26 00:00:00
112,1487,COURSE34,Quiz,96.0,2024-03-10 00:00:00
113,1118,COURSE17,Quiz,82.0,2023-05-15 00:00:00
114,1414,COURSE39,Midterm,96.0,2024-07-08 00:00:00
115,1331,COURSE31,Quiz,80.0,2024-06-16 00:00:00
116,1163,COURSE45,Quiz,60.0,2023-09-20 00:00:00
117,1206,COURSE34,Midterm,75.0,2023-03-15 00:00:00
118,1165,COURSE13,Assignment,98.0,2024-04-23 00:00:00
119,1342,COURSE36,Midterm,90.0,2024-02-13 00:00:00
120,1030,COURSE5,Final Exam,82.0,2023-11-04 00:00:00
121,1438,COURSE12,Assignment,92.0,2023-05-18 00:00:00
122,1494,COURSE18,Quiz,72.0,2020-04-27 00:00:00
123,1348,COURSE49,Quiz,68.0,2020-04-02 00:00:00
124,1359,COURSE27,Final Exam,82.0,2021-07-14 00:00:00
125,1345,COURSE37,Midterm,84.0,2020-10-26 00:00:00
126,1060,COURSE11,Midterm,72.0,2020-04-27 00:00:00
127,1350,COURSE20,Midterm,74.0,2020-03-08 00:00:00
128,1243,COURSE18,Midterm,89.0,2020-08-05 00:00:00
129,1334,COURSE4,Midterm,61.0,2022-10-25 00:00:00
130,1449,COURSE15,Final Exam,95.0,2022-05-29 00:00:00
131,1088,COURSE17,Final Exam,93.0,2022-04-15 00:00:00
132,1135,COURSE42,Quiz,64.0,2022-11-20 00:00:00
133,1021,COURSE24,Midterm,65.0,2021-07-16 00:00:00
134,1264,COURSE41,Assignment,78.0,2020-10-21 00:00:00
135,1428,COURSE34,Midterm,67.0,2020-03-27 00:00:00
136,1053,COURSE8,Assignment,87.0,2024-02-20 00:00:00
137,1471,COURSE3,Final Exam,95.0,2020-08-08 00:00:00
138,1309,COURSE49,Final Exam,91.0,2024-08-08 00:00:00
139,1061,COURSE8,Midterm,89.0,2021-10-28 00:00:00
140,1439,COURSE14,Final Exam,84.0,2022-02-06 00:00:00
141,1224,COURSE9,Assignment,64.0,2021-07-23 00:00:00
142,1449,COURSE4,Quiz,74.0,2024-07-19 00:00:00
143,1315,COURSE47,Assignment,74.0,2024-01-19 00:00:00
144,1036,COURSE20,Midterm,87.0,2022-04-03 00:00:00
145,1257,COURSE38,Assignment,71.0,2022-07-19 00:00:00
146,1204,COURSE8,Assignment,64.0,2024-09-21 00:00:00
147,1244,COURSE35,Assignment,81.0,2020-10-22 00:00:00
148,1314,COURSE16,Midterm,78.0,2022-05-09 00:00:00
149,1431,COURSE9,Final Exam,68.0,2020-04-30 00:00:00
150,1195,COURSE17,Assignment,60.0,2020-09-08 00:00:00
151,1088,COURSE49,Final Exam,70.0,2020-08-18 00:00:00
152,1384,COURSE50,Assignment,64.0,2021-02-25 00:00:00
153,1201,COURSE11,Quiz,74.0,2022-12-05 00:00:00
154,1091,COURSE29,Assignment,85.0,2022-11-03 00:00:00
155,1158,COURSE10,Assignment,89.0,2023-10-22 00:00:00
156,1101,COURSE21,Quiz,90.0,2023-08-21 00:00:00
157,1255,COURSE23,Midterm,67.0,2023-06-09 00:00:00
158,1117,COURSE25,Assignment,85.0,2021-10-03 00:00:00
159,1447,COURSE46,Quiz,72.0,2020-09-22 00:00:00
160,1133,COURSE31,Quiz,82.0,2021-05-11 00:00:00
161,1056,COURSE6,Midterm,84.0,2020-02-10 00:00:00
162,1174,COURSE41,Midterm,99.0,2023-08-04 00:00:00
163,1232,COURSE25,Quiz,64.0,2024-07-21 00:00:00
164,1064,COURSE30,Quiz,93.0,2023-01-27 00:00:00
165,1048,COURSE36,Assignment,84.0,2024-05-05 00:00:00
166,1158,COURSE49,Final Exam,61.0,2023-05-21 00:00:00
167,1314,COURSE18,Assignment,78.0,2023-02-02 00:00:00
168,1273,COURSE47,Final Exam,76.0,2021-12-18 00:00:00
169,1335,COURSE40,Quiz,100.0,2021-05-02 00:00:00
170,1101,COURSE41,Midterm,84.0,2024-06-09 00:00:00
171,1008,COURSE10,Assignment,79.0,2021-07-20 00:00:00
172,1286,COURSE9,Assignment,100.0,2023-07-16 00:00:00
173,1169,COURSE14,Quiz,90.0,2024-08-27 00:00:00
174,1140,COURSE25,Midterm,87.0,2022-12-14 00:00:00
175,1191,COURSE32,Final Exam,96.0,2022-03-04 00:00:00
176,1060,COURSE23,Midterm,83.0,2020-01-17 00:00:00
177,1451,COURSE34,Quiz,63.0,2023-12-28 00:00:00
178,1329,COURSE8,Assignment,89.0,2020-09-29 00:00:00
179,1072,COURSE27,Assignment,73.0,2021-01-25 00:00:00
180,1129,COURSE34,Assignment,64.0,2020-05-03 00:00:00
181,1001,COURSE30,Quiz,67.0,2024-12-20 00:00:00
182,1349,COURSE43,Midterm,84.0,2021-03-27 00:00:00
183,1464,COURSE20,Midterm,96.0,2024-03-31 00:00:00
184,1072,COURSE17,Quiz,61.0,2023-10-24 00:00:00
185,1183,COURSE18,Assignment,92.0,2024-09-24 00:00:00
186,1043,COURSE13,Quiz,91.0,2022-04-11 00:00:00
187,1495,COURSE24,Midterm,72.0,2020-09-03 00:00:00
188,1240,COURSE3,Midterm,99.0,2023-08-24 00:00:00
189,1288,COURSE41,Midterm,78.0,2024-04-11 00:00:00
190,1394,COURSE33,Final Exam,60.0,2021-02-14 00:00:00
191,1345,COURSE21,Final Exam,95.0,2021-08-29 00:00:00
192,1206,COURSE42,Assignment,64.0,2021-05-31 00:00:00
193,1056,COURSE15,Final Exam,86.0,2024-11-04 00:00:00
194,1240,COURSE39,Assignment,76.0,2024-06-05 00:00:00
195,1021,COURSE50,Assignment,72.0,2024-12-22 00:00:00
196,1336,COURSE15,Midterm,72.0,2020-11-28 00:00:00
197,1330,COURSE50,Assignment,63.0,2023-05-31 00:00:00
198,1069,COURSE2,Midterm,72.0,2021-11-30 00:00:00
199,1102,COURSE13,Quiz,67.0,2023-09-23 00:00:00
200,1058,COURSE34,Final Exam,73.0,2024-09-15 00:00:00
201,1450,COURSE9,Final Exam,98.0,2020-07-06 00:00:00
202,1289,COURSE20,Midterm,85.0,2022-12-16 00:00:00
203,1070,COURSE29,Quiz,61.0,2021-11-16 00:00:00
204,1144,COURSE20,Quiz,62.0,2024-02-12 00:00:00
205,1151,COURSE19,Quiz,88.0,2020-10-19 00:00:00
206,1049,COURSE43,Final Exam,60.0,2022-05-03 00:00:00
207,1425,COURSE10,Final Exam,87.0,2021-09-25 00:00:00
208,1133,COURSE16,Quiz,85.0,2023-08-10 00:00:00
209,1059,COURSE30,Final Exam,87.0,2021-02-27 00:00:00
210,1461,COURSE21,Final Exam,67.0,2020-09-23 00:00:00
211,1485,COURSE11,Final Exam,73.0,2024-02-11 00:00:00
212,1210,COURSE41,Final Exam,78.0,2022-09-04 00:00:00
213,1027,COURSE3,Quiz,100.0,2024-06-09 00:00:00
214,1084,COURSE26,Final Exam,92.0,2022-03-15 00:00:00
215,1002,COURSE21,Assignment,82.0,2024-07-04 00:00:00
216,1092,COURSE34,Quiz,69.0,2023-12-08 00:00:00
217,1332,COURSE36,Quiz,85.0,2020-12-06 00:00:00
218,1070,COURSE31,Final Exam,93.0,2023-06-11 00:00:00
219,1031,COURSE29,Assignment,71.0,2020-10-05 00:00:00
220,1146,COURSE35,Assignment,69.0,2022-01-18 00:00:00
221,1440,COURSE48,Quiz,74.0,2021-05-25 00:00:00
222,1176,COURSE11,Midterm,84.0,2024-01-23 00:00:00
223,1394,COURSE1,Quiz,81.0,2023-11-18 00:00:00
224,1419,COURSE4,Assignment,80.0,2023-08-06 00:00:00
225,1384,COURSE34,Final Exam,61.0,2023-12-24 00:00:00
226,1427,COURSE50,Final Exam,70.0,2021-03-21 00:00:00
227,1240,COURSE20,Quiz,80.0,2020-04-22 00:00:00
228,1369,COURSE38,Assignment,89.0,2020-10-30 00:00:00
229,1386,COURSE17,Quiz,76.0,2023-04-03 00:00:00
230,1159,COURSE9,Quiz,79.0,2024-04-14 00:00:00
231,1080,COURSE31,Quiz,80.0,2021-06-17 00:00:00
232,1367,COURSE19,Quiz,85.0,2021-12-24 00:00:00
233,1432,COURSE16,Quiz,84.0,2022-09-26 00:00:00
234,1019,COURSE16,Final Exam,65.0,2022-08-13 00:00:00
235,1476,COURSE12,Midterm,71.0,2020-02-13 00:00:00
236,1272,COURSE27,Midterm,74.0,2022-01-19 00:00:00
237,1457,COURSE40,Assignment,92.0,2024-06-22 00:00:00
238,1362,COURSE27,Quiz,84.0,2020-09-12 00:00:00
239,1429,COURSE30,Final Exam,92.0,2020-08-29 00:00:00
240,1201,COURSE25,Final Exam,76.0,2024-12-10 00:00:00
241,1361,COURSE31,Final Exam,86.0,2022-09-15 00:00:00
242,1181,COURSE3,Assignment,66.0,2022-12-27 00:00:00
243,1456,COURSE43,Final Exam,76.0,2023-01-03 00:00:00
244,1407,COURSE45,Assignment,93.0,2022-09-12 00:00:00
245,1403,COURSE2,Midterm,61.0,2021-11-23 00:00:00
246,1271,COURSE43,Quiz,93.0,2020-05-22 00:00:00
247,1274,COURSE25,Quiz,73.0,2020-10-17 00:00:00
248,1487,COURSE13,Final Exam,69.0,2020-02-27 00:00:00
249,1023,COURSE17,Assignment,94.0,2020-03-02 00:00:00
250,1400,COURSE21,Final Exam,73.0,2022-10-18 00:00:00
251,1058,COURSE25,Assignment,67.0,2021-07-16 00:00:00
252,1070,COURSE24,Midterm,65.0,2023-12-11 00:00:00
253,1049,COURSE13,Quiz,99.0,2024-01-21 00:00:00
254,1310,COURSE42,Quiz,95.0,2021-07-30 00:00:00
255,1147,COURSE49,Final Exam,82.0,2024-02-03 00:00:00
256,1024,COURSE47,Assignment,70.0,2020-05-09 00:00:00
257,1055,COURSE6,Assignment,79.0,2020-06-21 00:00:00
258,1173,COURSE22,Quiz,89.0,2024-10-02 00:00:00
259,1391,COURSE6,Midterm,81.0,2021-05-23 00:00:00
260,1308,COURSE49,Assignment,100.0,2020-08-24 00:00:00
261,1145,COURSE25,Quiz,69.0,2020-07-28 00:00:00
262,1385,COURSE17,Midterm,90.0,2023-06-09 00:00:00
263,1014,COURSE40,Final Exam,94.0,2022-03-23 00:00:00
264,1235,COURSE8,Final Exam,61.0,2023-06-21 00:00:00
265,1388,COURSE19,Final Exam,86.0,2023-02-07 00:00:00
266,1069,COURSE12,Midterm,86.0,2020-02-03 00:00:00
267,1087,COURSE7,Assignment,81.0,2021-08-22 00:00:00
268,1370,COURSE43,Final Exam,67.0,2024-05-31 00:00:00
269,1098,COURSE22,Midterm,69.0,2020-07-30 00:00:00
270,1353,COURSE8,Assignment,66.0,2021-01-19 00:00:00
271,1102,COURSE9,Midterm,77.0,2021-02-02 00:00:00
272,1391,COURSE12,Quiz,99.0,2023-08-18 00:00:00
273,1409,COURSE49,Quiz,82.0,2021-10-14 00:00:00
274,1406,COURSE30,Midterm,68.0,2023-02-09 00:00:00
275,1112,COURSE40,Assignment,92.0,2020-10-19 00:00:00
276,1224,COURSE4,Final Exam,68.0,2024-08-28 00:00:00
277,1279,COURSE1,Quiz,78.0,2024-08-15 00:00:00
278,1339,COURSE47,Assignment,86.0,2021-02-16 00:00:00
279,1154,COURSE23,Final Exam,65.0,2020-12-19 00:00:00
280,1349,COURSE45,Assignment,78.0,2020-02-05 00:00:00
281,1281,COURSE10,Quiz,94.0,2023-04-25 00:00:00
282,1494,COURSE43,Final Exam,64.0,2021-06-22 00:00:00
283,1432,COURSE5,Assignment,71.0,2023-06-01 00:00:00
284,1179,COURSE9,Midterm,78.0,2020-06-05 00:00:00
285,1329,COURSE21,Quiz,65.0,2024-01-14 00:00:00
286,1236,COURSE21,Final Exam,93.0,2023-03-03 00:00:00
287,1232,COURSE21,Quiz,69.0,2024-09-06 00:00:00
288,1071,COURSE17,Assignment,61.0,2020-11-08 00:00:00
289,1428,COURSE12,Quiz,85.0,2021-02-14 00:00:00
290,1404,COURSE3,Assignment,63.0,2022-05-26 00:00:00
291,1125,COURSE39,Midterm,97.0,2022-01-12 00:00:00
292,1433,COURSE28,Assignment,62.0,2024-08-25 00:00:00
293,1008,COURSE43,Final Exam,67.0,2023-01-26 00:00:00
294,1227,COURSE20,Quiz,73.0,2021-07-27 00:00:00
295,1327,COURSE21,Final Exam,74.0,2022-09-05 00:00:00
296,1420,COURSE7,Quiz,89.0,2022-03-31 00:00:00
297,1326,COURSE14,Assignment,77.0,2020-03-25 00:00:00
298,1118,COURSE48,Assignment,95.0,2024-01-31 00:00:00
299,1108,COURSE16,Final Exam,92.0,2023-09-05 00:00:00
300,1228,COURSE8,Final Exam,99.0,2020-04-22 00:00:00
301,1144,COURSE31,Assignment,83.0,2020-04-10 00:00:00
302,1312,COURSE4,Assignment,67.0,2022-02-04 00:00:00
303,1427,COURSE4,Assignment,98.0,2022-01-21 00:00:00
304,1158,COURSE29,Quiz,98.0,2020-04-26 00:00:00
305,1279,COURSE9,Quiz,92.0,2024-12-18 00:00:00
306,1122,COURSE29,Midterm,61.0,2023-09-25 00:00:00
307,1114,COURSE31,Final Exam,98.0,2024-09-21 00:00:00
308,1275,COURSE37,Quiz,80.0,2020-11-06 00:00:00
309,1150,COURSE16,Quiz,70.0,2020-08-27 00:00:00
310,1307,COURSE16,Midterm,77.0,2020-09-13 00:00:00
311,1401,COURSE37,Final Exam,74.0,2021-09-14 00:00:00
312,1315,COURSE37,Midterm,63.0,2021-08-19 00:00:00
313,1204,COURSE41,Assignment,68.0,2021-02-10 00:00:00
314,1091,COURSE23,Assignment,81.0,2024-03-28 00:00:00
315,1412,COURSE29,Assignment,74.0,2021-08-28 00:00:00
316,1020,COURSE46,Quiz,86.0,2024-01-28 00:00:00
317,1134,COURSE19,Midterm,68.0,2022-01-27 00:00:00
318,1200,COURSE22,Quiz,69.0,2022-04-28 00:00:00
319,1172,COURSE26,Midterm,94.0,2023-10-16 00:00:00
320,1047,COURSE5,Assignment,74.0,2024-07-12 00:00:00
321,1140,COURSE16,Midterm,90.0,2023-09-23 00:00:00
322,1093,COURSE46,Quiz,94.0,2021-07-11 00:00:00
323,1075,COURSE49,Final Exam,73.0,2021-10-22 00:00:00
324,1141,COURSE41,Midterm,70.0,2020-08-27 00:00:00
325,1260,COURSE41,Quiz,88.0,2021-02-20 00:00:00
326,1373,COURSE11,Midterm,80.0,2024-09-25 00:00:00
327,1159,COURSE50,Final Exam,84.0,2021-10-28 00:00:00
328,1096,COURSE45,Midterm,88.0,2022-11-20 00:00:00
329,1127,COURSE45,Quiz,81.0,2022-06-02 00:00:00
330,1322,COURSE15,Quiz,75.0,2024-02-06 00:00:00
331,1269,COURSE1,Quiz,73.0,2024-01-14 00:00:00
332,1061,COURSE9,Midterm,62.0,2023-11-21 00:00:00
333,1070,COURSE26,Assignment,85.0,2022-01-06 00:00:00
334,1043,COURSE19,Midterm,68.0,2021-10-16 00:00:00
335,1431,COURSE50,Midterm,63.0,2021-11-13 00:00:00
336,1469,COURSE34,Final Exam,65.0,2024-09-30 00:00:00
337,1399,COURSE42,Assignment,88.0,2023-05-24 00:00:00
338,1191,COURSE1,Final Exam,83.0,2020-07-25 00:00:00
339,1496,COURSE29,Final Exam,75.0,2023-09-21 00:00:00
340,1139,COURSE21,Assignment,66.0,2023-06-27 00:00:00
341,1249,COURSE26,Midterm,97.0,2021-08-14 00:00:00
342,1011,COURSE43,Quiz,92.0,2022-04-30 00:00:00
343,1087,COURSE5,Midterm,73.0,2020-12-14 00:00:00
344,1184,COURSE7,Midterm,99.0,2024-01-11 00:00:00
345,1002,COURSE46,Midterm,67.0,2024-06-25 00:00:00
346,1275,COURSE11,Final Exam,69.0,2023-02-24 00:00:00
347,1295,COURSE3,Final Exam,91.0,2020-02-09 00:00:00
348,1021,COURSE8,Midterm,85.0,2020-05-17 00:00:00
349,1120,COURSE22,Final Exam,66.0,2024-01-11 00:00:00
350,1132,COURSE23,Final Exam,67.0,2023-02-07 00:00:00
351,1002,COURSE19,Quiz,67.0,2024-09-16 00:00:00
352,1456,COURSE41,Quiz,89.0,2022-07-10 00:00:00
353,1130,COURSE37,Quiz,61.0,2024-04-02 00:00:00
354,1428,COURSE2,Assignment,93.0,2023-04-02 00:00:00
355,1234,COURSE5,Quiz,66.0,2023-08-03 00:00:00
356,1198,COURSE2,Final Exam,63.0,2024-06-15 00:00:00
357,1395,COURSE3,Quiz,64.0,2023-10-16 00:00:00
358,1115,COURSE12,Final Exam,76.0,2022-03-02 00:00:00
359,1335,COURSE11,Assignment,77.0,2024-09-21 00:00:00
360,1345,COURSE39,Quiz,76.0,2024-08-07 00:00:00
361,1066,COURSE20,Final Exam,64.0,2022-10-03 00:00:00
362,1375,COURSE50,Final Exam,94.0,2020-05-21 00:00:00
363,1023,COURSE18,Assignment,66.0,2021-11-15 00:00:00
364,1286,COURSE31,Assignment,94.0,2022-05-19 00:00:00
365,1149,COURSE48,Quiz,87.0,2024-09-11 00:00:00
366,1148,COURSE10,Quiz,74.0,2022-04-12 00:00:00
367,1179,COURSE50,Midterm,66.0,2021-09-29 00:00:00
368,1172,COURSE26,Midterm,88.0,2021-05-25 00:00:00
369,1131,COURSE31,Final Exam,73.0,2023-08-12 00:00:00
370,1043,COURSE39,Assignment,83.0,2022-06-17 00:00:00
371,1444,COURSE50,Quiz,66.0,2024-01-06 00:00:00
372,1144,COURSE21,Midterm,67.0,2022-06-19 00:00:00
373,1055,COURSE4,Midterm,77.0,2024-02-18 00:00:00
374,1468,COURSE39,Assignment,98.0,2020-11-29 00:00:00
375,1451,COURSE44,Quiz,90.0,2021-02-28 00:00:00
376,1091,COURSE9,Quiz,96.0,2023-04-07 00:00:00
377,1076,COURSE44,Quiz,72.0,2023-01-23 00:00:00
378,1444,COURSE44,Final Exam,92.0,2024-02-20 00:00:00
379,1228,COURSE9,Quiz,63.0,2022-11-03 00:00:00
380,1016,COURSE36,Final Exam,84.0,2020-09-01 00:00:00
381,1155,COURSE15,Midterm,95.0,2023-11-16 00:00:00
382,1290,COURSE21,Quiz,72.0,2024-07-16 00:00:00
383,1349,COURSE19,Midterm,66.0,2024-08-28 00:00:00
384,1422,COURSE50,Quiz,68.0,2020-07-13 00:00:00
385,1254,COURSE30,Assignment,82.0,2021-06-27 00:00:00
386,1264,COURSE4,Final Exam,98.0,2021-04-11 00:00:00
387,1161,COURSE35,Final Exam,82.0,2022-02-09 00:00:00
388,1284,COURSE2,Final Exam,90.0,2022-05-21 00:00:00
389,1232,COURSE32,Assignment,81.0,2024-07-02 00:00:00
390,1045,COURSE50,Quiz,84.0,2023-05-04 00:00:00
391,1471,COURSE2,Assignment,95.0,2023-09-01 00:00:00
392,1481,COURSE23,Final Exam,87.0,2021-03-15 00:00:00
393,1341,COURSE14,Assignment,92.0,2024-12-04 00:00:00
394,1267,COURSE45,Assignment,98.0,2020-07-29 00:00:00
395,1476,COURSE18,Assignment,81.0,2021-01-11 00:00:00
396,1488,COURSE28,Quiz,74.0,2023-01-21 00:00:00
397,1119,COURSE21,Assignment,63.0,2023-06-26 00:00:00
398,1255,COURSE21,Quiz,90.0,2020-04-27 00:00:00
399,1143,COURSE36,Assignment,79.0,2022-12-20 00:00:00
400,1262,COURSE47,Final Exam,83.0,2023-01-18 00:00:00
401,1489,COURSE25,Midterm,76.0,2024-08-12 00:00:00
402,1105,COURSE13,Quiz,89.0,2021-11-14 00:00:00
403,1082,COURSE12,Quiz,85.0,2022-08-31 00:00:00
404,1298,COURSE33,Assignment,65.0,2020-05-30 00:00:00
405,1068,COURSE18,Assignment,72.0,2023-05-12 00:00:00
406,1332,COURSE11,Quiz,76.0,2023-07-31 00:00:00
407,1269,COURSE4,Midterm,87.0,2023-10-04 00:00:00
408,1037,COURSE30,Final Exam,70.0,2021-04-13 00:00:00
409,1471,COURSE13,Midterm,74.0,2020-01-28 00:00:00
410,1036,COURSE16,Assignment,66.0,2022-01-09 00:00:00
411,1312,COURSE8,Quiz,79.0,2021-05-11 00:00:00
412,1071,COURSE6,Assignment,67.0,2020-08-24 00:00:00
413,1323,COURSE27,Final Exam,82.0,2021-10-15 00:00:00
414,1058,COURSE39,Quiz,100.0,2023-07-05 00:00:00
415,1070,COURSE32,Final Exam,85.0,2020-03-16 00:00:00
416,1124,COURSE2,Assignment,86.0,2020-02-26 00:00:00
417,1461,COURSE32,Midterm,63.0,2022-09-14 00:00:00
418,1194,COURSE40,Final Exam,82.0,2021-11-24 00:00:00
419,1311,COURSE7,Final Exam,98.0,2022-05-04 00:00:00
