course_id,course_name,department,average_mark,student_count,record_count
COURSE62,Optimized Bottom-line Access,Biology,80.19,1301,1481
COURSE40,Course 40,Physics,80.19,1432,1666
COURSE108,Programmable Foreground Customer Loyalty,Computer Science,80.19,1290,1467
COURSE70,Progressive Dynamic Archive,Biology,80.17,1291,1448
COURSE95,Centralized Asynchronous Standardization,Biology,80.16,1336,1544
COURSE79,Right-sized Maximized Intranet,Biology,80.16,1338,1537
COURSE33,Course 33,Biology,80.15,1291,1471
COURSE63,Synergistic Fault-tolerant Firmware,Computer Science,80.14,1311,1491
COURSE116,Pre-emptive Empowering Circuit,Mathematics,80.14,1660,2070
COURSE83,Intuitive Clear-thinking Flexibility,Computer Science,80.13,1320,1489
COURSE45,Course 45,Computer Science,80.13,1242,1384
COURSE126,Right-sized Static Functionalities,Biology,80.1,1307,1500
COURSE10,Course 10,Biology,80.09,1327,1501
COURSE54,Programmable 5thgeneration Internet Solution,Mathematics,80.09,1610,2006
COURSE129,Multi-tiered Systematic Open Architecture,Computer Science,80.07,1228,1394
COURSE59,Secured Methodical Emulation,Computer Science,80.07,1312,1515
COURSE36,Course 36,Computer Science,80.07,1332,1523
COURSE85,Focused 24hour Approach,Mathematics,80.07,1652,2049
COURSE109,Fully-configurable Responsive Projection,Computer Science,80.07,1389,1610
COURSE84,Customizable 3rdgeneration Emulation,Biology,80.05,1334,1538
COURSE130,Object-based Next Generation Migration,Computer Science,80.03,1279,1444
COURSE42,Course 42,Biology,80.03,1288,1476
COURSE144,Polarized Directional Policy,Biology,80.02,1376,1569
COURSE125,User-centric Logistical Info-mediaries,Biology,80.02,1302,1479
COURSE139,Managed 5thgeneration Forecast,Biology,80.01,1306,1476
COURSE89,Proactive Dynamic Secured Line,Computer Science,80.0,1317,1529
COURSE23,Course 23,Computer Science,80.0,1237,1433
COURSE127,Innovative Human-resource Graphical User Interface,Computer Science,80.0,1310,1488
COURSE81,Profound Real-time Website,Computer Science,79.98,1338,1509
COURSE99,Universal 5thgeneration Product,Computer Science,79.97,1325,1523
COURSE118,Synergistic Leadingedge Framework,Computer Science,79.93,1321,1506
COURSE32,Course 32,Computer Science,79.91,1271,1453
COURSE98,Decentralized 3rdgeneration Emulation,Computer Science,79.91,1283,1469
COURSE121,Open-source Neutral Intranet,Computer Science,79.84,1264,1453
COURSE9,Course 9,Biology,79.81,1273,1451
COURSE3,Course 3,Computer Science,79.77,1279,1459
